t=0  22:05:43,53     01.05.2019;;;;;;;;
time;Ug;CosPhi;Ie;Qg;Pg;Uf;Fg Hz;Alpha gr
0,860;0,965;0,972;0,348;0,072;0,206;0,340;50,000;85,100
0,870;0,965;0,972;0,350;0,071;0,206;0,341;50,000;85,700
0,880;0,965;0,977;0,351;0,071;0,207;0,343;50,000;85,600
0,890;0,965;0,972;0,353;0,071;0,206;0,345;50,000;85,500
0,900;0,965;0,972;0,354;0,072;0,206;0,346;50,000;84,300
0,910;0,965;0,972;0,356;0,072;0,206;0,350;50,000;85,100
0,920;0,965;0,977;0,358;0,071;0,206;0,353;50,000;83,900
0,930;0,965;0,972;0,360;0,070;0,206;0,357;50,000;84,700
0,940;0,965;0,972;0,363;0,070;0,206;0,362;50,000;84,200
0,950;0,965;0,972;0,365;0,070;0,206;0,366;50,000;85,500
0,960;0,965;0,977;0,366;0,070;0,206;0,368;50,000;84,900
0,970;0,965;0,977;0,366;0,070;0,206;0,371;50,000;85,900
0,980;0,965;0,973;0,367;0,070;0,205;0,371;50,000;86,500
0,990;0,965;0,973;0,365;0,070;0,205;0,371;50,000;86,900
1,000;0,965;0,972;0,364;0,071;0,206;0,371;50,000;86,300
1,010;0,965;0,972;0,362;0,071;0,206;0,368;50,000;87,000
1,020;0,965;0,972;0,361;0,072;0,206;0,367;50,000;85,400
1,030;0,965;0,972;0,362;0,073;0,206;0,368;50,000;86,600
1,040;0,965;0,968;0,362;0,074;0,205;0,367;50,000;86,600
1,050;0,965;0,972;0,361;0,074;0,206;0,365;50,000;88,200
1,060;0,964;0,972;0,358;0,074;0,206;0,361;50,000;88,000
1,070;0,964;0,967;0,355;0,075;0,206;0,356;50,000;88,200
1,080;0,964;0,967;0,352;0,076;0,206;0,353;50,000;86,100
1,090;0,964;0,967;0,352;0,077;0,206;0,352;50,000;85,900
1,100;0,964;0,967;0,355;0,077;0,206;0,353;50,000;84,800
1,110;0,964;0,967;0,359;0,076;0,206;0,356;50,000;86,300
1,120;0,964;0,967;0,360;0,076;0,206;0,357;50,000;85,800
1,130;0,964;0,972;0,360;0,077;0,207;0,357;50,000;86,900
1,140;0,964;0,972;0,359;0,078;0,207;0,357;50,000;86,500
1,150;0,964;0,972;0,358;0,077;0,207;0,356;50,000;87,700
1,160;0,964;0,972;0,356;0,076;0,207;0,355;50,000;87,100
1,170;0,964;0,972;0,354;0,075;0,207;0,352;50,000;87,900
1,180;0,964;0,972;0,352;0,075;0,207;0,348;50,000;86,900
1,190;0,964;0,972;0,350;0,075;0,207;0,347;50,000;87,300
1,200;0,964;0,967;0,350;0,075;0,206;0,346;50,000;86,100
1,210;0,965;0,967;0,350;0,075;0,206;0,346;50,000;86,500
1,220;0,965;0,967;0,351;0,075;0,206;0,346;50,000;85,800
1,230;0,965;0,972;0,351;0,075;0,207;0,345;50,000;87,000
1,240;0,964;0,967;0,350;0,074;0,206;0,343;50,000;86,700
1,250;0,964;0,972;0,349;0,073;0,206;0,338;50,000;87,000
1,260;0,964;0,972;0,348;0,073;0,206;0,341;50,000;85,200
1,270;0,965;0,972;0,349;0,074;0,206;0,342;50,000;85,100
1,280;0,965;0,972;0,353;0,073;0,206;0,346;50,000;84,200
1,290;0,965;0,972;0,356;0,072;0,206;0,348;50,000;85,600
1,300;0,964;0,972;0,357;0,072;0,206;0,351;50,000;85,100
1,310;0,964;0,972;0,358;0,072;0,206;0,353;50,000;85,200
1,320;0,964;0,972;0,360;0,072;0,206;0,357;50,000;83,200
1,330;0,964;0,977;0,365;0,071;0,207;0,365;50,000;83,100
1,340;0,965;0,972;0,371;0,071;0,206;0,372;49,990;82,900
1,350;0,965;0,973;0,376;0,072;0,205;0,380;50,000;85,700
1,360;0,964;0,968;0,376;0,072;0,205;0,381;50,010;86,900
1,370;0,964;0,977;0,372;0,072;0,206;0,381;50,000;88,100
1,380;0,964;0,972;0,368;0,072;0,206;0,378;50,000;86,800
1,390;0,965;0,972;0,365;0,072;0,206;0,377;50,000;86,600
1,400;0,965;0,967;0,365;0,072;0,206;0,375;50,000;85,800
1,410;0,965;0,977;0,366;0,071;0,207;0,376;50,000;87,000
1,420;0,964;0,977;0,365;0,071;0,207;0,375;50,000;86,700
