t=0  6:46:44,50     26.01.2018;;;;;;;;
time;Ug;Ig;MaxSetUgV/Hz;Qg;If;Uf;Fg Hz;Alpha gr
0,860;1,099;0,000;1,100;0,000;0,374;0,310;50,000;85,700
0,870;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,700
0,880;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,800
0,890;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
0,900;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
0,910;1,101;0,000;1,100;0,000;0,375;0,310;50,000;85,700
0,920;1,099;0,000;1,100;0,000;0,375;0,309;50,000;85,700
0,930;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,500
0,940;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,500
0,950;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,500
0,960;1,099;0,000;1,100;0,000;0,374;0,308;50,000;85,500
0,970;1,100;0,000;1,100;0,000;0,375;0,310;50,000;83,900
0,980;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,700
0,990;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,000;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,010;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,020;1,099;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,030;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,040;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,050;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,060;1,099;0,000;1,100;0,000;0,374;0,311;50,000;85,800
1,070;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,080;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,090;1,101;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,100;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,110;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,120;1,099;0,000;1,100;0,000;0,375;0,312;50,000;85,800
1,130;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,140;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,800
1,150;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,700
1,160;1,099;0,000;1,100;0,000;0,375;0,309;50,000;85,600
1,170;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,500
1,180;1,099;0,000;1,100;0,000;0,375;0,308;50,000;85,500
1,190;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,500
1,200;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,500
1,210;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,600
1,220;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,600
1,230;1,101;0,000;1,100;0,000;0,375;0,310;50,000;85,700
1,240;1,099;0,000;1,100;0,000;0,375;0,309;50,000;85,700
1,250;1,101;0,000;1,100;0,000;0,375;0,308;50,000;85,600
1,260;1,100;0,000;1,100;0,000;0,375;0,308;50,000;87,200
1,270;1,100;0,000;1,100;0,000;0,375;0,306;50,000;85,500
1,280;1,100;0,000;1,100;0,000;0,375;0,306;50,000;85,400
1,290;1,101;0,000;1,100;0,000;0,375;0,306;50,000;85,400
1,300;1,099;0,000;1,100;0,000;0,374;0,306;50,000;85,400
1,310;1,100;0,000;1,100;0,000;0,375;0,307;50,000;85,300
1,320;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,500
1,330;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,600
1,340;1,099;0,000;1,100;0,000;0,374;0,310;50,000;85,700
1,350;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,700
1,360;1,099;0,000;1,100;0,000;0,374;0,312;50,000;85,900
1,370;1,100;0,000;1,100;0,000;0,375;0,313;50,000;85,900
1,380;1,099;0,000;1,100;0,000;0,374;0,314;50,000;86,000
1,390;1,100;0,000;1,100;0,000;0,375;0,315;50,000;86,100
1,400;1,100;0,000;1,100;0,000;0,375;0,315;50,000;86,200
1,410;1,101;0,000;1,100;0,000;0,375;0,315;50,000;86,200
1,420;1,100;0,000;1,100;0,000;0,375;0,313;50,000;86,100
1,430;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,900
1,440;1,099;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,450;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
1,460;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,700
1,470;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,700
1,480;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,700
1,490;1,101;0,000;1,100;0,000;0,375;0,309;50,000;85,600
1,500;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,600
1,510;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,500
1,520;1,099;0,000;1,100;0,000;0,374;0,308;50,000;85,500
1,530;1,101;0,000;1,100;0,000;0,375;0,309;50,000;85,500
1,540;1,099;0,000;1,100;0,000;0,375;0,309;50,000;85,600
1,550;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,600
1,560;1,099;0,000;1,100;0,000;0,375;0,309;50,000;85,600
1,570;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,600
1,580;1,099;0,000;1,100;0,000;0,374;0,309;50,000;85,600
1,590;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,600
1,600;1,099;0,000;1,100;0,000;0,374;0,311;49,990;85,800
1,610;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,800
1,620;1,099;0,000;1,100;0,000;0,375;0,313;50,000;85,900
1,630;1,100;0,000;1,100;0,000;0,375;0,313;50,000;86,000
1,640;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,650;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,660;1,099;0,000;1,100;0,000;0,374;0,312;50,000;85,900
1,670;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,800
1,680;1,099;0,000;1,100;0,000;0,375;0,313;50,000;86,000
